chart,chartURL,rank,song,artist,lyrics
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,42,Magnolia,Playboi Carti,"[Intro]
Yo Pi'erre, you wanna come out here?
In New York I Milly Rock, hide it in my sock
Running from an opp, and I shoot at opp (what)
And I'm on the block (what, what, what)
And I'm on the block (what)
In New York I Milly Rock (hello?) hide it in my sock (what)
Hide it in my sock (what) selling that rerock (what, what, what, what, what)

[Chorus]
In New York I Milly Rock, hide it in my sock
Used to sell rerock, running from the cops
Shooting at the opps (Yo Pi'erre, you wanna come out here?)
Shooting at the opps, 'cause I run they block
Gimme top (top) in my drop-top
All these hoes gon' flock (flock, flock) when I drop (drop, drop)
All these hoes gon' flock (flock, flock) when I drop (drop, drop)
All these hoes gon' flock (flock, flock) when I drop (drop, drop)

[Verse]
Woo, woo, woo, woo
Woo, woo, woo, woo
All these hoes want cash, all these hoes want bags
Fucking on yo' bitch, uh, I'm her dad
All these niggas sound like cash (sound like cash)
I'm a soldier, damn, I thought I told you
Shootin' like a soldier, like I'm from Magnolia
All these, niggas, always, fold
Big, bank, never, fold
Sippin, Act', fill that shit slowly
Bitches, on me, say she like my clothing
I'm in London, Young Carti global
Designer is on me, call it dirty laundry
All these bitches want Young Carti, Young Carti (yeah)
Ay, Young Carti, Young Carti (what)
Young Carti, Young Carti (yeah)
All of your bitches they loose
All of your bitches they loose
All of my bitches they rich
And they stay rockin' that Rick
What, what, huh, what, what, huh
Rich, rich, Cash Carti, bitch
Rich, bitch, got a rich clique
I'm suckin' on the clit, she suckin' on the dick
Give that hoe a tip, told her ""Buy some kicks""
Then I brush my teeth, pop up in a whip
Glocky in the whip, glocky in the whip
And I'm cocky, fuckin' on a thotty
She just wanna plot me, bitch can't stop me
I'm riding in a Mazi, this ain't even my Mazi
Oh, that's not yo' thottie, yo' bitch look like a aunty
Walked in with Ashanti, damn, that look like Shanti
Damn, that look like Carti, I think dat be Young Carti
Heard he spent a hunnid on a fucking watch piece, that's filthy

[Chorus]
In New York I Milly Rock, hide it in my sock
Running from an opp, then I shoot at opp
And I'm on the block
And I'm on the block
In New York I Milly Rock, hide it in my sock
Hide in my sock, selling that rerock
What, what, what, what, what
In New York I Milly Rock, hide it in my sock
Use to sell rerock, running from the cops
Shooting at the opps, you know what I'm sayin'?

[Outro]
Yo, Pi'erre, you wanna come out here?
Bitch ass nigga, fuck that nigga man!"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,43,Everyday We Lit,YFN Lucci Featuring PnB Rock,"[Chorus: PnB Rock & YFN Lucci]
I came up from nothing, nigga, you can't tell me shit, yeah
Did it on my own, check out my neck, check out my wrist, yeah
I swear I ain't never expected it to be like this
Now a nigga gettin' rich I swear everyday we lit
Everyday we lit, yeah, you can't tell me shit, yeah
'Member I was broke, yeah, now I'm gettin' rich, yeah
Yeah, when yo' diamonds colder than a bitch, then you know you lit
When you quick to take a nigga bitch, then you know you lit
Everyday we lit, yeah, everyday we lit, yeah
Everyday we lit, yeah, everyday we lit, yeah
Everyday we lit, everyday we lit (uh-huh)
Everyday we lit, yeah, everyday we lit

[Verse 1: YFN Lucci]
Can't wait to get that Vacheron, put that on my arm
Just counted a 50 with my mom, the boy a don
All my cars came foreign, my chain glowin'
I ain't goin', man, look where we came from
Uh, all yo' bangers got my name on it, yeah, yeah
She want me to put my name on it
I got the hottest 16, one of the best you've ever seen
But she like it when I sing on it

[Chorus: PnB Rock & YFN Lucci]
I came up from nothing, nigga, you can't tell me shit, yeah
Did it on my own, check out my neck, check out my wrist, yeah
I swear I ain't never expected it to be like this
Now a nigga gettin' rich I swear everyday we lit
Everyday we lit, yeah, you can't tell me shit, yeah
'Member I was broke, yeah, now I'm gettin' rich, yeah
Yeah, when yo' diamonds colder than a bitch, then you know you lit
When you quick to take a nigga bitch, then you know you lit
Everyday we lit, yeah, everyday we lit, yeah
Everyday we lit, yeah, everyday we lit, yeah
Everyday we lit, everyday we lit (uh-huh)
Everyday we lit, yeah, everyday we lit

[Verse 2: PnB Rock]
Can't wait to get that new drop, put that on my block, yeah
I just copped a new Beam, put that on my Glock, yeah
I done stepped my game up, got my change up
I swear on my niggas I won't never change up
Rollie all on my wrist, yeah, Rollie all on my bitch, yeah
I ain't goin' back broke, never, now a nigga gettin' rich
I did it all on my own and nobody gave me a loan
Now my diamonds on froze, now I'm fuckin' niggas' hoes

[Chorus: PnB Rock & YFN Lucci]
I came up from nothing, nigga, you can't tell me shit, yeah
Did it on my own, check out my neck, check out my wrist, yeah
I swear I ain't never expected it to be like this
Now a nigga gettin' rich I swear everyday we lit
Everyday we lit, yeah, you can't tell me shit, yeah
'Member I was broke, yeah, now I'm gettin' rich, yeah
Yeah, when yo' diamonds colder than a bitch, then you know you lit
When you quick to take a nigga bitch, then you know you lit
Everyday we lit, yeah, everyday we lit, yeah
Everyday we lit, yeah, everyday we lit, yeah
Everyday we lit, everyday we lit (uh-huh)
Everyday we lit, yeah, everyday we lit

[Outro: YFN Lucci]
Yeah-yea-yea yeah
Ay say everyday we lit
You can't tell me shit
Yeah
Everyday we lit uh
Everyday we lit
Everyday we lit uh"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,44,Do Re Mi,blackbear,"[Intro]
Do, re, mi, fa, so
Yeah, yeah, yeah, oh
Do, re, mi, fa, so
Yeah, yeah, yeah

[Verse 1]
Yeah, if I could go back to the day we met
I probably would just stay in bed
You run your mouth all over town
And this one goes out to the sound
Of breaking glass on my Range Rover
Pay me back or bitch, it's over
All the presents I would send
Fuck my friends behind my shoulder
Next time I'ma stay asleep
I pray the Lord my soul to keep, oh

[Pre-Chorus]
And you got me thinking lately
Bitch, you crazy
And nothing's ever good enough
I wrote a little song for ya
It go like

[Chorus]
Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-tac-toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, girl
So send the X and O's on another note, I'm ghost
(Yeah, yeah, yeah, oh)

[Verse 2]
If I could go back to the day we met
I probably would've stayed in bed
You wake up everyday
And make me feel like I'm incompetent
Designer shoes and Xanax tabs
Compliments your make-up bag
You never had to buy yourself a drink
'Cause everybody want to tap that ass sometime

[Pre-Chorus]
And you got me thinking lately
Bitch, you crazy
And nothing's ever good enough
I wrote a little song for ya
It go like

[Chorus]
Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-tac-toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, girl
So send the X and O's on another note, I'm ghost
(Yeah, yeah, yeah, oh)

[Bridge]
(And you got me thinking lately, yeah)
(Bitch, you crazy)
(And nothing's ever good enough)
I wrote a little song for you, it go like

[Chorus]
Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-tac-toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, girl
So send the X and O's on another note, I'm ghost
(Yeah, yeah, yeah)

[Outro]
(So send the X and O's on another note, I'm ghost)
Do, re, mi, fa, so
(Yeah, yeah, yeah)
So send the X and O's on another note, I'm ghost"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,45,I Get The Bag,Gucci Mane Featuring Migos,"[Intro: Gucci Mane, (Quavo), Southside & Future]
Southside
Hah, it's Gucci
It's Drop Top, Wizop, ooh
If Young Metro don't trust you (yeah)
I'm gon' shoot ya (ayy)

[Chorus: Quavo]
You get the bag and fumble it
I get the bag and flip it and tumble it (yeah)
Straight out the lot, 300 cash (cash)
And the car came with a blunt in it (yeah)
Lil mama a thot, and she got ass (thot)
Then she gon' fuck up a bag (yeah)
Pull up to the spot, livin' too fast (yeah)
Droppin' the dope in the stash (yah)
In Italy, got two foreign hoes, they DM me (ooh, brr, ayy)
Drop the top when it's cold (drop top)
But you feel the heat (skrrt, yah, ayy)
Be real with me
Keep it 100, just be real with me (ayy)
Eat it up like it's a feast (whoa, eat it up)
They say the dope on fleek (yep)

[Verse 1: Takeoff]
Percocet pill on me (Percocet)
Ice on my neck, baby, chill with me (ice)
Them niggas that post in the back don't say nothin'
Them niggas will kill for me
Back ends I count in my sleep, on fleek
100k spent on a Patek Phillippe (Phillippe)
Bitch, I'm a dog, eat my treat (hrr)
Hop out the frog and leap (leap)
I put them bricks in the fender
My bitch, she walk around like she Kris Jenner (Kris Jenner)
I used to break in and enter
Then Takeoff runnin' like the game of temple (whew)
It's simple, I play with her mental
Momma said she saw me on Jimmy Kimmel (mama)
Count it up, 'cause I'm a money symbol
Walkin' with the racks, I'm lookin' crippled (money)
Fuck on that bitch then I tip her (tip her)
A nickel for me to take pictures (nickel)
Not from L.A. but I clip her (brr)
Double my cup, pour a triple (Actavis)
Fox on my body, no Vivica (fox on my...)
I'm not your average or typical (I'm not your...)
Look at my wrist, and it's critical (look at the...)
Hold it up, droppin' the temperature (droppin' the...)
I get that bag on the regular (bag)
I got a bag on my cellular (brr)
Backin' up, baggin' up vegetables (bag)
Bag of them cookies, it's medical (cookies)
Cocaine, codeine, etcetera (white)
Cocaine and lean, it's federal (white)
I take off, landin' on Nebula
As of now 20 M's on my schedule (Takeoff)

[Chorus: Quavo & Gucci Mane]
You get the bag and fumble it
I get the bag and flip it and tumble it (yeah)
Straight out the lot, 300 cash (cash)
And the car came with a blunt in it (yeah)
Lil mama a thot, and she got ass (thot)
And she gon' fuck up her back (yeah)
Pull up to the spot, livin' too fast (yeah)
Droppin' the dope in the stash (yah)
In Italy, got two foreign hoes, they DM me (ooh, brr, ayy)
Drop the top when it's cold (drop top)
But you feel the heat (skrrt, yah, ayy)
Be real with me
Keep it 100, just be real with me (it's Gucci, ayy)
Eat it up like it's a feast (hah, whoa, eat it up)
They say the dope on fleek (yep)

[Verse 2: Gucci Mane]
I know that you niggas gettin' sick of me (eww-ah)
These chains on my neck cost a mil' a piece (umm)
I don't even like to freestyle for free
I put in the key and I ride the beat
I won't even come out the house for free
I pay a nigga to drive for me (huh?)
JAY-Z couldn't even co-sign for me
I do what I want, 'cause I'm signed to me (damn)
I get the, I get the, I get the bag
They get the bag, have to cut it in half (Wop)
Stop the comparin', y'all makin' me laugh
Need the rehab, I'm addicted to cash
Convertible Wop, convertible top
My dope got a vertical, look at it hop
Skrrt, skrrt, skrrt, and it jump out the pot (pot)
Came out of jail and went straight to the top
Take it easy, baby, middle of summer, I'm freezin', baby (burr)
Don't leave me, baby
Just drop to your knees and please me, baby (go)
I'm fascinated, two bitches so fine that I masturbated (hah)
Congratulations, she brain me so good that I graduated (wow)
They had to hate it
I don't fuck with them niggas, they plastic, baby (heh)
A trapper, baby, I rap but I own all my masters, baby
It's tragic, baby, I pull up and fuck up the traffic, baby (hah)
A savage, baby
I'm killin' these niggas, closed casket, baby (ayy, Wop)

[Chorus: Quavo]
You get the bag and fumble it
I get the bag and flip it and tumble it (yeah)
Straight out the lot, 300 cash (cash)
And the car came with a blunt in it (yeah)
Lil mama a thot, and she got ass (thot)
And she gon' fuck up her back (yeah)
Pull up to the spot, livin' too fast (yeah)
Droppin' the dope in the stash (yah)
In Italy, got two foreign hoes, they DM me (ooh, brr, ayy)
Drop the top when it's cold (drop top)
But you feel the heat (skrrt, yah, ayy)
Be real with me
Keep it 100, just be real with me (ayy)
Eat it up like it's a feast (whoa, eat it up)
They say the dope on fleek (yep)"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,46,Butterfly Effect,Travis Scott,"[Intro]
Murda on the beat so it's not nice

[Chorus]
For this life, I cannot change (change)
Hidden Hills, deep off in the main (main)
M&M's, sweet like candy cane (cane)
Drop the top, pop it, let it bang (pop it, pop it)
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (pop it, pop it)

[Verse 1]
Drop the top, play hide and seek (yeah!)
Jump inside, jump straight to the league (league)
Take a sip, feel just how I be (it's lit!)
On freeway, but no, ain't nothin' free (straight up!)
Bend laws, bend lanes (skrr, skrr)
Been bustin' bills, but still, ain't nothin' change (skrr, skrr)
You in the mob soon as you rock the chain (mob)
She caught the waves just thumbin' through my braids (alright!)
Heatin' up, baby, I'm just heatin' up (it's lit!)
Need ya love, not a need it is a must (yeah!)
Feelin' stuck, you know how to keep me up (yeah, yeah!)
Icy love, icy like a hockey puck (alright!)

[Chorus]
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (pop it, pop it)
For this life, I cannot change
Hidden Hills, deep off in the main (yeah, yeah!)
M&M's, sweet like candy cane
Drop the top, pop it, let it bang

[Verse 2]
All the ones, all the chains piled on the mantle (yeah!)
All the dogs, all the dogs low creep right behind me in the Phantom (it's lit!)
Yeah, never go, never go dip on the set, stayed Santana
Yeah, run it back, turn the lights on when I hit up Green Lantern (it's lit, alright!)
Yeah, fly the broads, fly the dogs down to Atlanta
Yeah, in the cut in Medusa, lay low, yeah, I might be
Yeah, roll up, help me calm down when I'm movin' high speed
Yeah, if I send one, need to text back 'cause you know what I need (straight up!)
Oh, please (oh, please), Oh, me (oh, me) Oh, my (oh, my)
We been movin', we been movin' for some time (alright!)
Flexin', flexin' try to exercise
Exercise, exercise, exercise, exercise (yeah, yeah!)

[Chorus]
For this life, I cannot change (change)
Hidden Hills, deep off in the main (main)
M&M's, sweet like candy cane (cane)
Drop the top, pop it, let it bang (pop it, pop it)
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang
Yah!"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,47,Look At Me!,XXXTENTACION,"[Intro]
Ayy, I'm like ""Bitch, who is your mans?"" (ay)
Can't keep my dick in my pants (ay)
My bitch don't love me no mo' (ay)
She kick me out, I'm like vro

[Interlude]
""Damn, son, where'd you find this?""
Yah, ay
Yah, ay, yah
Ay, haha, yah, yah, yah
Ay
Ay, ay, ay

[Verse 1]
I'm like ""Bitch, who is your mans?"" (ay)
Can't keep my dick in my pants (ay)
My bitch don't love me no mo' (ay)
She kick me out, I'm like, ""vro"" (ay)
That bitch don't wanna be friends (ay)
I gave her dick, she amen (ay)
She put her tongue on my dick (ay)
Look at my wrist, about ten (ay)
Just got a pound of the boof (ay)
Brought that shit straight to the booth (ay)
Tommy my Hilfiger voots (ay)
She said, ""wan' fuck?"" Bitch, I do (ay)
You put a gun on my mans (ay)
I put a hole in your parents (ay)
I just got lean on my ksubis (ay)
I got a UZI, no Uzi, yah

[Chorus 1]
Fuck on me, look at me, ay
Fuck on me, yah, look at me, ay
Look at me, look at me, yah
Fuck on me, yah, ay
Look at me, yah, fuck on me
Look at me, fuck on me, yah
Look at me, fuck on me
Yah, ay

[Interlude]
Tell these fuck niggas, voot me up, pipe up
Ay, shouts out Bans and them, ay

[Verse 2]
I took a white bitch to Starbucks
That little bitch got her throat fucked
I like to rock out like I'm misfit
My emo bitch like her wrist slit
Curly hair bitch like I'm Corbin
Got like three bitches, I'm Mormon
Skeet on your main bitch's forehead
Don't want your pussy, just want head

[Chorus 2]
Look at me, fuck on me
Look at me, fuck on me
Look at me, fuck on me
Look at me, yah, ay!
Look at me, fuck on me
Look at me, fuck on me
Look at me, fuck on me
Look at me, yah!"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,48,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,"[Chorus: Brent Faiyaz]
She see money all around me
I look like I'm the man, yeah
But I was down and out like last week
Tell me where have you been?
You came out of hiding, girl
Don't act like I'm your man
You just a fan, you don't hold rank
Don't hold no rank

[Verse 1: GoldLink]
Dirty ass, Maryland ass nigga
With a sick ass mouth and a slick ass flow
Got your bitch around me, nigga, ain't no playin'
When I'm comin' for the kitty, I'm a fool, goddamn
Do it for my niggas on the coast right there
Do it for my niggas in the Ghost right now
Niggas got killed for the boy, live his dreams in the hills
And they watchin' for the boy right now
Goddamn, what a time, what a year, uh
We are what them young boys fear, uh
I kill, never been killed, that's real, no lies
You can tell that from our peers right now
Bet you wanna fuck me now, uh
Bet you wanna love me down, uh
Girl, you can't tie me down like Ray J said
But know I'm down, uh
Freaky deaky, show me somethin', uh
Shake it like you owe me somethin', uh
Pushin' on the pussy like a button
Came four times, fifth time you gushin', uh
Still gettin' rowdy in the function, uh
Bitches on my dick like it's nothin', uh
Everywhere I go now, always got shit bumpin'
Jumpin', thumpin', jumpin', yeah

[Verse 2: Shy Glizzy]
Hey, nice to meet, I’m Young Jefe, who you be?
Got my piece in Southeast, got her clappin' to this beat
She invite me to her crib, I walk in, she see my heat
She said, ""But I live in the hills,"" bitch, that’s just the way I sleep
Stop that madness, I'm a savage, in traffic with MAC 11’s
Baddest bitch and she Spanish, I fly her to Calabasas
We get nasty, I'm her daddy, she know a nigga ain't average
Ain't nothin' wrong with fake asses, bitch, turn around, let's make magic
I'm geekin', uh-huh, I'm on it, don't look at me like you want it
Tell 'em that we ain't stuntin', in fourth down we ain't puntin' it
King of District Columbia, can't come here without a permit
This shit really a jungle, gorillas and anacondas
Hey, hey, Young Jefe holmes

[Chorus: Brent Faiyaz]
She see money all around me
I look like I'm the man, yeah
But I was down and out like last week
Tell me where have you been?
You came out of hiding, girl
Don't act like I'm your man
You just a fan, you don't hold rank
Don't hold no rank"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,49,Love.,Kendrick Lamar Featuring Zacari,"[Intro: Kendrick Lamar]
Damn, love or lust
Damn, all of us

[Chorus: Zacari & Kendrick Lamar]
Give me a run for my money
There is nobody, no one to outrun me
(Another world premiere!)
So give me a run for my money
Sippin' bubbly, feelin’ lovely, livin' lovely
Just love me
I wanna be with you, ayy, I wanna be with
Just love me, just love me, just love
I wanna be with you, ayy, I wanna be with
Love me
I wanna be with you
Love me, just love me

[Refrain: Kendrick Lamar & Zacari]
If I didn't ride blade on curb, would you still love me?
If I minimised my net-worth, would you still love me?
Keep it a hundred, I’d rather you trust me than to love me
Keep it a whole one hund': don't got you, I got nothin'

[Verse 1: Kendrick Lamar]
Ayy, I got somethin'
Hol' up, we gon' function, no assumptions
Feelin' like Tyson with it
Knock it out twice, I’m with it
Only for the night, I’m kiddin'
Only for life, yeah, only for life, yeah
Only for life, let’s get it
Hit that shoulder lean
I know what's comin' over me
Backstroke oversea
I know what you need
Already on ten, all money come in
All feeling go out, this feeling don't drought
This party won’t end

[Refrain: Kendrick Lamar & Zacari]
If I didn't ride blade on curb, would you still love me?
If I minimised my net-worth, would you still love me?
Keep it a hundred, I'd rather you trust me than to love me
Keep it a whole one hund': don't got you, I got nothin'

[Chorus: Zacari & Kendrick Lamar]
Give me a run for my money
There is nobody, no one to outrun me
So give me a run for my money
Sippin' bubbly, feelin' lovely, livin' lovely
Just love me
I wanna be with you, ayy, I wanna be with
Just love me, just love me, just love
I wanna be with you, ayy, I wanna be with
Love me
I wanna be with you
Love me, just love me

[Verse 2: Kendrick Lamar & Zacari]
I'm on the way
We ain't got no time to waste
Poppin' your gum on the way (love me)
Am I in the way?
I don't wan' pressure you none
I want your blessing today (love me)
Oh, by the way, open the door by the way
Told you that I'm on the way (love me)
I'm on the way, I know connection is vague
Pick up the phone for me, babe
Dammit, we jammin'
Bad attitude from yo' nanny
Curves and your hips from yo' mammy
Remember Gardena, I took the studio camera
I know Top will be mad at me
I had to do it, I want your body, your music
I bought the big one to prove it
Look what you made
Told you that I'm on the way
I'm like a exit away, yep

[Refrain: Kendrick Lamar & Zacari]
If I didn't ride blade on curb, would you still love me?
If I minimised my net-worth, would you still love me?
Keep it a hundred, I'd rather you trust me than to love me
Keep it a whole one hund': don't got you, I got nothin'

[Chorus: Zacari & Kendrick Lamar]
Give me a run for my money
There is nobody, no one to outrun me
So give me a run for my money
Sippin' bubbly, feelin' lovely, livin' lovely
Just love me
I wanna be with you, ayy, I wanna be with
Just love me, just love me, just love me
I wanna be with you, ayy, I wanna be with
Love me
I wanna be with you
Love me, just love me"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,50,Party,Chris Brown Featuring Usher & Gucci Mane,"[Intro: Usher & Chris Brown]
Oh, hey
Yeah, it's Breezy
Yeah, yeah, yeah

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party

[Verse 1: Chris Brown]
Bitches dancin' naked in my livin' room
She straight out of college, just turned 22
Girl, get your money up, I ain't even mad at you
Got you all on me, makin' these niggas catchin' attitudes
Tell 'em don't start it, my niggas retarded
Fuck the judge and the sentence, huh, I got a good lawyer
I got a few girls on the way, baby girl, you ain't leavin'
It's my birthday with the cake, fuck it up, then let me eat it

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party

[Verse 2: Usher]
Yeah, I just got the ring, I think I deserve a toast
Shout out to my team, we be out there doin' the most
Girl, come to my place, but don't bring no clothes
Let's be dirty babe, baby, drop it low
Pop rubber bands all on her ass, baby been eating her wheaties
All in the back, dishin' the cash, make me if you need it
I got a few girls on the way, baby girl, you ain't leavin'
It's my birthday with the cake, lick it all, let me eat it

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party

[Verse 3: Gucci Mane]
It's party, party, party like a nigga just got out of jail
Flyin' in my 'rari like a bat that just flew outta hell
I'm from the east of ATL, but ballin' in the Cali hills
Lil mama booty boomin', that bitch movin' and she standin' still
I know these bitches choosin' me, but I got 80 on me still
I'm tryna fuck, who tryna chill? 'Cause I'm just tryna pay some bills
I'm multi millionare LaFlare, this watch here cost a quarter M
Just look at me and look at them, I smashed her on my first attempt
Like Scarface bitch, the world is mine, you should read the blimp
So either you gon' take a ride, or you gon' stay with him
'Cause I got places I can be, I get yo ass on the scene
Gucci, CB VIP, so fuck them niggas, look at me, Wop

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party"
R&B/Hip-Hop,https://www.billboard.com/charts/year-end//2017/hot-r-and-and-b-hip-hop-songs,51,Deja Vu,J. Cole,"[Intro]
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her

[Verse 1]
Sometimes you worry bout the things he can provide for ya
Whenever you around I seem to come alive for ya
I finally recognize the feelings that's inside for ya
Although I know your man and trust me he would die for ya
These quiet thoughts of you been going on for years now
I saw you in the party, soft lips, soft spoken
I came and talked to you but homie interfered now
He introduced you as his girl and I was heartbroken
Some people talk about that love at first sight shit
To keep it real I don't know whether I believe it's true
But if it is then tell me if I'm wrong or right
If I fell in love with you before I ever even knew
I catch your eye then look away as if it never happened
At times I feel as though I'm caught up in a strange dream
If eyes could talk then mines would tell ya that I'm feeling you
Sometimes I swear your eyes be telling me the same thing

[Pre-Hook]
She fuck with small town niggas, I got bigger dreams
She fuck with small town niggas, I got bigger dreams (listen)
She fuck with small town niggas, I got bigger dreams
She fuck with small town niggas, I got bigger dreams (listen)

[Hook]
Club jumping, don't stop, off top
But you know we only go 'till 2 o'clock
Put yo motherfuckin' hood up, it's the weekend
Drop that, back that ass up and bitches get to freaking
Last call at the bar, ladies get a drink, nigga get some balls
Ain't no telling you gonna see that bitch tomorrow
Stop holding up the wall waiting for the right song
Better holla cause you know they bout to cut the lights on

[Verse 2]
And put my number in it—
I'm staring at you from afar, I'm wondering about you
Like, where you from and who you are?
'Cause you a star—no, not the type that snort the white lines
I mean the type to light the night time, I heard you got a man
But who in their right mind letting you out the house alone?
Tell me is your house a home?
Why you in the club looking like you out your zone?
Now be discreet and pull out your phone and put my number in it
Text a nigga when your man leave you unattended
On a scale from 1 to 10 that girl's a hundred and I want it
No question, I know destiny well
And though I sin the Lord blessing me still
Every saint got a past, every sinner got a future
Every loser gotta win and every winner gotta lose someday
They say it's just a matter of time
And if I had my way then you would be mine

[Pre-Hook]
She fuck with small town niggas, I got bigger dreams
She fuck with small town niggas, I got bigger dreams (listen)
She fuck with small town niggas, I got bigger dreams
She fuck with small town niggas, I got bigger dreams

[Hook]
Club jumping, don't stop, off top
But you know we only go 'till 2 o'clock
Put yo motherfuckin' hood up, it's the weekend
Drop that, back that ass up and bitches get to freaking
Last call at the bar, ladies get a drink, nigga get some balls
Ain't no telling you gonna see that bitch tomorrow
Stop holding up the wall waiting for the right song
Better holla 'cause you know they bout to cut the lights on

[Bridge]
I know you were made for me but
Darling don't you wait for me
'Cause I can see the promised land
But I can't do no promising
I know you were made for me but
Darling don't you wait for me
'Cause I can see the promised land
But I can't do no promising

[Outro]
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her
Ayy, put a finger in the sky if you want it, nigga
Ayy, put two fingers in the sky if you want her"
